,Series6_1,Series6_2,Series6_3,Series16_1,Series16_2,Series16_3,Target
RPS2,-1.8678947021171237,-0.1412808826295622,-3.3210902213112057,0.08779884762139387,-2.077134991943893,-1.7529507026305882,1.0
RPS3,-2.6138415267398543,-0.7633995118528699,-4.098756340647479,-0.7922055781073907,-2.710302537505327,-2.4284675708001138,1.0
RPS3A,-2.6205677034279224,-0.7487214359158942,-3.5966884364771676,-0.4111085064804081,-2.461029027579935,-2.089585684287912,1.0
RPS4X,-2.924051146766702,-1.082462160191973,-3.9971794809376213,-0.9067500437022369,-3.012598719008625,-2.609998003209201,1.0
RPS4Y1,-1.9244489669928235,-0.1926450779423959,-4.215012890970851,-0.014075185211722786,-2.1658088929700803,-1.8995981030421627,1.0
RPS5,-2.436419457906069,-0.5199652458747205,-4.085709413603954,-0.6332433389167574,-2.644343093269353,-2.3930899502622203,1.0
RPS6,-2.8513258607672514,-0.9170138902686242,-3.7262374904755386,-0.6159619974152885,-2.6026193661868247,-2.3454804491297425,1.0
RPS7,-2.3771431540877392,-0.523791702859137,-3.2740014450546235,0.34008708088137535,-1.9092317529043126,-1.6480725445757944,1.0
RPS8,-2.745797161129927,-0.7780308425776601,-3.854722769743264,-0.33641442878744254,-2.33348550266625,-2.013247365495517,1.0
RPS9,-2.841754841475443,-0.9194621665579304,-4.25452182593523,-1.1094511424159972,-3.2124067970923216,-2.8099813473977453,1.0
RPS11,-2.2040629167950385,-0.45217477163763864,-3.664333616632559,-0.10796045576024382,-1.9057313387836776,-1.7028898683956417,1.0
RPS12,-2.1040254882611054,-0.15403362867242085,-3.602681667076371,0.16175106999661207,-1.6949529949913489,-1.483509399345575,1.0
RPS13,-2.331878635102138,-0.31713773617217567,-3.5266806848827637,0.0969181432757797,-1.9741241531682336,-1.7713337006455914,1.0
RPS14,-2.4425397504481685,-0.6204403960758722,-3.6495027529158666,-0.36227227877659357,-2.3187505178663965,-2.144280973250184,1.0
RPS15,-2.5990951365854014,-0.771279958691541,-4.022481630632623,-1.083721825897503,-2.939057235774693,-2.713884757813602,1.0
RPS15A,-2.2963354319970457,-0.36564947231668027,-3.2840156785912855,0.4891985810594502,-1.6259927045608986,-1.3151577762458342,1.0
RPS16,-2.3014854342546216,-0.5008982359326817,-3.8543383954004464,-0.20081457476787454,-2.144243732219604,-1.8573672220891748,1.0
RPS18,-2.479802479144605,-0.5300436018329243,-3.4784603805700693,-0.35654930843590543,-2.326910682827994,-2.009944761471504,1.0
RPS19,-2.771172660135161,-0.9609637914038627,-4.388171148791366,-0.6617164665251705,-2.7848392574087306,-2.440148977223451,1.0
RPS20,-2.6671026307687367,-0.6952318358570247,-3.716483835017081,-0.28681907102384446,-2.4040023215244486,-2.05218422247048,1.0
RPS21,-2.68228330839366,-0.6578253740807122,-3.909307015104258,-0.6107069583990524,-2.6489766744433263,-2.3837518103518964,1.0
RPS23,-2.4602472766326713,-0.5166223702913083,-3.6279341944865515,-0.1353302443418881,-2.2402658850483217,-1.9681626093766895,1.0
RPS24,-2.701262270817584,-0.7851617240574685,-3.618786679171614,-0.4629174281881959,-2.4586296627368105,-1.9363800650293908,1.0
RPS25,-2.9730070770145054,-1.0048493996613959,-3.764306281804338,-0.8621345508292041,-2.695621037452213,-2.256915621959534,1.0
RPS26,-3.214513410080016,-1.125936989064975,-4.134262803118564,-0.9139601689333084,-3.2326607567902754,-3.1727677512111376,1.0
RPS27,-2.335401045291257,-0.21074549736898895,-3.1877094075762447,0.2556492372647487,-1.6765856630517735,-1.4338659513053336,1.0
RPS27A,-2.092340718622001,-0.2286466235816225,-3.5136776054453294,0.26032809783842353,-1.5288732070723001,-1.2513577115518226,1.0
RPS28,-2.127947506621976,-0.26979177200910265,-3.9782258910381616,-0.19159926779084485,-2.3930721677820523,-1.8305484945876982,1.0
RPS29,-2.3098307704844703,-0.4143989973693781,-3.8033080889949025,-0.10050153862151641,-2.2334315559088282,-2.0939017548205414,1.0
FAU,-2.514465665467967,-0.5946126707548754,-4.1039829156482535,-0.5495228314658642,-2.5361259499397564,-2.264958116095158,1.0
RPSA,-2.3153665125996925,-0.5116420724330661,-3.642757587521474,0.17585818957458513,-2.0905136216861098,-1.9767126918354339,1.0
IRF3,-2.0426986261078506,-0.7755684333899536,-4.003602236680195,0.4694852833012202,-1.75785296064003,-1.8375045327373078,1.0
STAT1,-1.4584300947922246,0.25183619922892986,-2.514268774676738,2.2883044428160098,-0.062393603504179544,-0.02042788169778909,1.0
