Pick,Player,dollar_value
210,Sam Darnold (CAR - QB),$0
211,Zach Wilson (NYJ - QB),$0
212,Ryan Fitzpatrick (WAS - QB),$0
213,Jaylen Waddle (MIA - WR),$0
214,Mecole Hardman (KC - WR),$0
215,Michael Pittman Jr. (IND - WR),$0
216,Breshad Perriman (DET - WR),$0
217,Tyrell Williams (DET - WR),$0
218,Emmanuel Sanders (BUF - WR),$0
219,Jalen Reagor (PHI - WR),$0
220,Henry Ruggs III (LV - WR),$0
221,Nelson Agholor (NE - WR),$0
222,Sterling Shepard (NYG - WR),$0
223,Cole Kmet (CHI - TE),$0
224,Tevin Coleman (NYJ - RB),$0
225,Zach Ertz (PHI - TE),$0
226,Gerald Everett (SEA - TE),$0
227,Alexander Mattison (MIN - RB),$0
228,Giovani Bernard (TB - RB),$0
229,Chris Herndon IV (NYJ - TE),$0
230,Hayden Hurst (ATL - TE),$0
231,Phillip Lindsay (HOU - RB),$0
232,Jordan Akins (HOU - TE),$0
233,Jared Goff (DET - QB),$0
234,Allen Lazard (GB - WR),$0
235,Tre'Quan Smith (NO - WR),$0
236,Gabriel Davis (BUF - WR),$0
237,A.J. Green (ARI - WR),$0
238,John Brown (LV - WR),$0
239,Elijah Moore (NYJ - WR),$0
240,Christian Kirk (ARI - WR),$0
241,Jamison Crowder (NYJ - WR),$0
242,Rondale Moore (ARI - WR),$0
243,Rashod Bateman (BAL - WR),$0
244,Darrel Williams (KC - RB),$0
245,C.J. Uzomah (CIN - TE),$0
246,Dawson Knox (BUF - TE),$0
247,Rashaad Penny (SEA - RB),$0
248,Jack Doyle (IND - TE),$0
249,Mo Alie-Cox (IND - TE),$0
250,Ty Johnson (NYJ - RB),$0
251,Damien Williams (CHI - RB),$0
252,Tyler Eifert ( - TE),$0
253,Will Dissly (SEA - TE),$0
254,Donald Parham Jr. (LAC - TE),$0
255,Dan Arnold (CAR - TE),$0
256,O.J. Howard (TB - TE),$0
257,Deshaun Watson (HOU - QB),$0
258,Parris Campbell (IND - WR),$0
259,Terrace Marshall Jr. (CAR - WR),$0
260,Darius Slayton (NYG - WR),$0
261,Jakobi Meyers (NE - WR),$0
262,Randall Cobb (HOU - WR),$0
263,Hunter Renfrow (LV - WR),$0
264,Marquez Valdes-Scantling (GB - WR),$0
265,DeSean Jackson (LAR - WR),$0
266,Van Jefferson (LAR - WR),$0
267,Keelan Cole Sr. (NYJ - WR),$0
268,Denzel Mims (NYJ - WR),$0
269,Sony Michel (NE - RB),$0
270,Xavier Jones (LAR - RB),$0
271,Justin Jackson (LAC - RB),$0
272,Darrynton Evans (TEN - RB),$0
273,Jacob Hollister (BUF - TE),$0
274,Malcolm Brown (MIA - RB),$0
275,Salvon Ahmed (MIA - RB),$0
276,Tyler Conklin (MIN - TE),$0
277,Kenneth Gainwell (PHI - RB),$0
278,David Njoku (CLE - TE),$0
279,Joshua Kelley (LAC - RB),$0
280,Kyle Juszczyk (SF - RB),$0
281,Jeff Wilson Jr. (SF - RB),$0
282,Jimmy Graham (CHI - TE),$0
283,Dalton Schultz (DAL - TE),$0
284,Rex Burkhead (HOU - RB),$0
285,Marlon Mack (IND - RB),$0
286,Jake Funk (LAR - RB),$0
287,Trayveon Williams (CIN - RB),$0
288,Devontae Booker (NYG - RB),$0
289,Nick Boyle (BAL - TE),$0
290,Maxx Williams (ARI - TE),$0
291,Geoff Swaim (TEN - TE),$0
292,Drew Sample (CIN - TE),$0
293,Kyle Rudolph (NYG - TE),$0
294,James O'Shaughnessy (JAC - TE),$0
295,Cameron Brate (TB - TE),$0
296,Justin Fields (CHI - QB),$0
297,Cam Newton (NE - QB),$0
298,Josh Reynolds (TEN - WR),$0
299,Amon-Ra St. Brown (DET - WR),$0
300,Sammy Watkins (BAL - WR),$0
301,D'Wayne Eskridge (SEA - WR),$0
302,Marquez Callaway (NO - WR),$0
303,Demarcus Robinson (KC - WR),$0
304,James Washington (PIT - WR),$0
305,Anthony Miller (HOU - WR),$0
306,Rashard Higgins (CLE - WR),$0
307,Chris Conley (HOU - WR),$0
308,Zach Pascal (IND - WR),$0
309,Josh Palmer (LAC - WR),$0
310,Kendrick Bourne (NE - WR),$0
311,KJ Hamler (DEN - WR),$0
312,Jalen Guyton (LAC - WR),$0
