Date,Start (ET),Visitor,PTS,Home,PTS,Attend.
"Sun, Dec 27, 2020",3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,0
"Sun, Dec 27, 2020",7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,750
"Sun, Dec 27, 2020",7:00p,Orlando Magic,120,Washington Wizards,113,0
"Sun, Dec 27, 2020",7:00p,Brooklyn Nets,104,Charlotte Hornets,106,0
"Sun, Dec 27, 2020",7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,118,300
"Sun, Dec 27, 2020",7:30p,Milwaukee Bucks,110,New York Knicks,130,0
"Sun, Dec 27, 2020",8:00p,Boston Celtics,107,Indiana Pacers,108,0
"Sun, Dec 27, 2020",8:00p,Golden State Warriors,129,Chicago Bulls,128,0
"Sun, Dec 27, 2020",9:00p,Phoenix Suns,116,Sacramento Kings,100,0
"Sun, Dec 27, 2020",10:00p,Minnesota Timberwolves,91,Los Angeles Lakers,127,0
"Mon, Dec 28, 2020",7:30p,Memphis Grizzlies,116,Brooklyn Nets,111,0
"Mon, Dec 28, 2020",7:30p,Detroit Pistons,120,Atlanta Hawks,128,0
"Mon, Dec 28, 2020",8:00p,Utah Jazz,110,Oklahoma City Thunder,109,0
"Mon, Dec 28, 2020",9:00p,Houston Rockets,111,Denver Nuggets,124,0
"Mon, Dec 28, 2020",10:00p,Portland Trail Blazers,115,Los Angeles Lakers,107,0
"Tue, Dec 29, 2020",7:00p,New York Knicks,95,Cleveland Cavaliers,86,300
"Tue, Dec 29, 2020",7:00p,Golden State Warriors,116,Detroit Pistons,106,0
"Tue, Dec 29, 2020",7:00p,Boston Celtics,116,Indiana Pacers,111,0
"Tue, Dec 29, 2020",7:00p,Chicago Bulls,115,Washington Wizards,107,0
"Tue, Dec 29, 2020",7:00p,Toronto Raptors,93,Philadelphia 76ers,100,0
"Tue, Dec 29, 2020",7:30p,Milwaukee Bucks,144,Miami Heat,97,0
"Tue, Dec 29, 2020",8:00p,Orlando Magic,118,Oklahoma City Thunder,107,0
"Tue, Dec 29, 2020",10:00p,New Orleans Pelicans,86,Phoenix Suns,111,0
"Tue, Dec 29, 2020",10:00p,Denver Nuggets,115,Sacramento Kings,125,0
"Tue, Dec 29, 2020",10:00p,Minnesota Timberwolves,101,Los Angeles Clippers,124,0
"Wed, Dec 30, 2020",7:30p,Milwaukee Bucks,108,Miami Heat,119,0
"Wed, Dec 30, 2020",7:30p,Atlanta Hawks,141,Brooklyn Nets,145,0
"Wed, Dec 30, 2020",7:30p,Memphis Grizzlies,107,Boston Celtics,126,0
"Wed, Dec 30, 2020",8:30p,Charlotte Hornets,118,Dallas Mavericks,99,0
"Wed, Dec 30, 2020",8:30p,Los Angeles Lakers,121,San Antonio Spurs,107,0
"Wed, Dec 30, 2020",10:00p,Portland Trail Blazers,105,Los Angeles Clippers,128,0
"Thu, Dec 31, 2020",3:00p,Cleveland Cavaliers,99,Indiana Pacers,119,0
"Thu, Dec 31, 2020",5:00p,Chicago Bulls,133,Washington Wizards,130,0
"Thu, Dec 31, 2020",6:30p,Philadelphia 76ers,116,Orlando Magic,92,"3,247"
"Thu, Dec 31, 2020",7:00p,Sacramento Kings,119,Houston Rockets,122,"3,247"
"Thu, Dec 31, 2020",7:30p,New York Knicks,83,Toronto Raptors,100,"3,449"
"Thu, Dec 31, 2020",8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,80,0
"Thu, Dec 31, 2020",9:00p,Phoenix Suns,106,Utah Jazz,95,"1,932"
