None,ticker,date,closeadj
59182,AME,2021-06-24,133.63
59183,AME,2021-06-23,133.28
59184,AME,2021-06-22,133.62
59185,AME,2021-06-21,133.72
59186,AME,2021-06-18,130.65
59187,AME,2021-06-17,133.99
59188,AME,2021-06-16,135.4
59189,AME,2021-06-15,137.16
59190,AME,2021-06-14,136.18
59191,AME,2021-06-11,135.86
59192,AME,2021-06-10,136.15
59193,AME,2021-06-09,135.511
59194,AME,2021-06-08,136.509
59195,AME,2021-06-07,136.479
59196,AME,2021-06-04,137.498
59197,AME,2021-06-03,136.629
59198,AME,2021-06-02,135.67
59199,AME,2021-06-01,135.57
59200,AME,2021-05-28,134.901
59201,AME,2021-05-27,134.182
59202,AME,2021-05-26,133.294
59203,AME,2021-05-25,132.924
59204,AME,2021-05-24,133.493
59205,AME,2021-05-21,132.655
59206,AME,2021-05-20,132.185
59207,AME,2021-05-19,131.337
59208,AME,2021-05-18,131.886
59209,AME,2021-05-17,133.743
59210,AME,2021-05-14,134.143
59211,AME,2021-05-13,133.224
59212,AME,2021-05-12,130.648
59213,AME,2021-05-11,135.94
59214,AME,2021-05-10,136.888
59215,AME,2021-05-07,137.128
59216,AME,2021-05-06,135.64
59217,AME,2021-05-05,136.679
59218,AME,2021-05-04,135.83
59219,AME,2021-05-03,134.113
59220,AME,2021-04-30,134.732
59221,AME,2021-04-29,136.888
59222,AME,2021-04-28,134.871
59223,AME,2021-04-27,134.901
59224,AME,2021-04-26,134.492
59225,AME,2021-04-23,134.812
59226,AME,2021-04-22,133.334
59227,AME,2021-04-21,132.894
59228,AME,2021-04-20,130.698
59229,AME,2021-04-19,131.926
59230,AME,2021-04-16,132.655
59231,AME,2021-04-15,132.954
59232,AME,2021-04-14,130.917
59233,AME,2021-04-13,131.666
59234,AME,2021-04-12,132.795
59235,AME,2021-04-09,131.097
59236,AME,2021-04-08,130.128
59237,AME,2021-04-07,129.36
59238,AME,2021-04-06,129.599
59239,AME,2021-04-05,130.518
59240,AME,2021-04-01,128.471
59241,AME,2021-03-31,127.542
59242,AME,2021-03-30,127.253
59243,AME,2021-03-29,128.022
59244,AME,2021-03-26,127.133
59245,AME,2021-03-25,122.869
59246,AME,2021-03-24,122.629
59247,AME,2021-03-23,121.491
59248,AME,2021-03-22,122.709
59249,AME,2021-03-19,120.582
59250,AME,2021-03-18,121.491
59251,AME,2021-03-17,121.531
59252,AME,2021-03-16,120.662
59253,AME,2021-03-15,122.6
59254,AME,2021-03-12,121.391
59255,AME,2021-03-11,121.531
59256,AME,2021-03-10,123.335
59257,AME,2021-03-09,120.255
59258,AME,2021-03-08,123.096
59259,AME,2021-03-05,121.87
59260,AME,2021-03-04,120.016
59261,AME,2021-03-03,122.099
59262,AME,2021-03-02,122.009
59263,AME,2021-03-01,121.9
59264,AME,2021-02-26,117.603
59265,AME,2021-02-25,119.926
59266,AME,2021-02-24,122.627
59267,AME,2021-02-23,119.567
59268,AME,2021-02-22,119.766
59269,AME,2021-02-19,120.484
59270,AME,2021-02-18,118.58
59271,AME,2021-02-17,119.836
59272,AME,2021-02-16,120.853
59273,AME,2021-02-12,121.371
59274,AME,2021-02-11,121.272
59275,AME,2021-02-10,120.105
59276,AME,2021-02-09,120.534
59277,AME,2021-02-08,119.517
59278,AME,2021-02-05,116.636
59279,AME,2021-02-04,116.786
59280,AME,2021-02-03,116.168
59281,AME,2021-02-02,116.128
59282,AME,2021-02-01,114.523
59283,AME,2021-01-29,112.908
59284,AME,2021-01-28,114.423
59285,AME,2021-01-27,110.715
59286,AME,2021-01-26,112.948
59287,AME,2021-01-25,115.988
59288,AME,2021-01-22,116.985
59289,AME,2021-01-21,119.108
59290,AME,2021-01-20,119.736
59291,AME,2021-01-19,118.58
59292,AME,2021-01-15,118.63
59293,AMD,2021-07-15,86.93
59294,AMD,2021-07-14,89.05
59295,AMD,2021-07-13,90.26
59296,AMD,2021-07-12,90.81
59297,AMD,2021-07-09,90.9
59298,AMD,2021-07-08,89.74
59299,AMD,2021-07-07,90.54
59300,AMD,2021-07-06,94.47
59301,AMD,2021-07-02,94.7
59302,AMD,2021-07-01,93.31
59303,AMD,2021-06-30,93.93
59304,AMD,2021-06-29,89.52
59305,AMD,2021-06-28,87.08
59306,AMD,2021-06-25,85.62
59307,AMD,2021-06-24,86.1
59308,AMD,2021-06-23,83.82
59309,AMD,2021-06-22,83.58
59310,AMD,2021-06-21,82.59
59311,AMD,2021-06-18,84.65
59312,AMD,2021-06-17,84.56
59313,AMD,2021-06-16,80.11
59314,AMD,2021-06-15,80.47
59315,AMD,2021-06-14,81.55
59316,AMD,2021-06-11,81.31
59317,AMD,2021-06-10,81.56
59318,AMD,2021-06-09,79.96
59319,AMD,2021-06-08,80.89
59320,AMD,2021-06-07,81.35
59321,AMD,2021-06-04,81.58
59322,AMD,2021-06-03,80.28
59323,AMD,2021-06-02,81.97
59324,AMD,2021-06-01,80.81
59325,AMD,2021-05-28,80.08
59326,AMD,2021-05-27,78.42
59327,AMD,2021-05-26,78.34
59328,AMD,2021-05-25,77.86
59329,AMD,2021-05-24,77.44
59330,AMD,2021-05-21,77.17
59331,AMD,2021-05-20,78.06
59332,AMD,2021-05-19,76.23
59333,AMD,2021-05-18,74.44
59334,AMD,2021-05-17,74.65
59335,AMD,2021-05-14,74.59
59336,AMD,2021-05-13,73.09
59337,AMD,2021-05-12,74.64
59338,AMD,2021-05-11,76.83
59339,AMD,2021-05-10,75.99
59340,AMD,2021-05-07,78.81
59341,AMD,2021-05-06,77.89
59342,AMD,2021-05-05,77.83
59343,AMD,2021-05-04,78.61
59344,AMD,2021-05-03,78.55
